path,disposition,basis
"evidence/PREDECESSOR-INVENTORY-v0.1.md","LEGACY","historical/reference evidence preserved under explicit Legacy boundary"
"evidence/PREDECESSOR-LINEAGE-REUSE-AUDIT-v0.1.md","LEGACY","historical/reference evidence preserved under explicit Legacy boundary"
"evidence/PRIOR-ARCHITECTURE-RECONCILIATION-MATRIX-v0.1.md","LEGACY","historical/reference evidence preserved under explicit Legacy boundary"
"evidence/PROJECT-INSTRUCTIONS-CARRIER-EVIDENCE-v0.1.md","LEGACY","historical/reference evidence preserved under explicit Legacy boundary"
"evidence/REQUIREMENTS-v0.1-to-v0.2-RECONCILIATION-v0.1.md","LEGACY","historical/reference evidence preserved under explicit Legacy boundary"
"evidence/REQUIREMENTS-v0.2-to-v0.3-RECONCILIATION-v0.1.md","LEGACY","historical/reference evidence preserved under explicit Legacy boundary"
"evidence/REQUIREMENTS-v0.3-INTERACTION-GAP-CHALLENGE-v0.1.md","LEGACY","historical/reference evidence preserved under explicit Legacy boundary"
"evidence/route-b/RUNTIME-TRANSITION-INTEGRITY-REAL-USE-REPAIR-v0.1.md","LEGACY","historical/reference evidence preserved under explicit Legacy boundary"
"evidence/route-b/v0.2-to-v0.3-FINDING-SOURCE-CHANGE-MAP.md","LEGACY","historical/reference evidence preserved under explicit Legacy boundary"
"evidence/route-b/v0.3-to-v0.4-COMPREHENSIVE-SOURCE-REPAIR-MAP.md","LEGACY","historical/reference evidence preserved under explicit Legacy boundary"
"evidence/route-b/v0.4-to-v0.5-ASSURANCE-DIVERSITY-AND-SOURCE-COMPACTION-MAP.md","LEGACY","historical/reference evidence preserved under explicit Legacy boundary"
"foundation/CONCERNS-AND-REQUIREMENTS-v0.1.md","LEGACY","historical/reference evidence preserved under explicit Legacy boundary"
"foundation/CONCERNS-AND-REQUIREMENTS-v0.2.md","LEGACY","historical/reference evidence preserved under explicit Legacy boundary"
"foundation/CONCERNS-AND-REQUIREMENTS-v0.3-CANDIDATE.md","LEGACY","historical/reference evidence preserved under explicit Legacy boundary"
"foundation/CONCERNS-AND-REQUIREMENTS-v0.3.md","EXTRACT","material semantics extracted into compact active baseline before archival"
"foundation/SYSTEM-OF-INTEREST.md","LEGACY","historical/reference evidence preserved under explicit Legacy boundary"
"methods/METHOD-REGISTRY-v0.1.md","LEGACY","historical/reference evidence preserved under explicit Legacy boundary"
"methods/system-development/EXISTING-SYSTEM-RECOVERY-METHOD-v0.1.md","LEGACY","historical/reference evidence preserved under explicit Legacy boundary"
"methods/system-development/RCA-FAILURE-LOCALIZATION-METHOD-v0.1.md","LEGACY","historical/reference evidence preserved under explicit Legacy boundary"
"methods/system-development/REAL-USE-VALIDATION-METHOD-v0.1.md","LEGACY","historical/reference evidence preserved under explicit Legacy boundary"
"methods/system-development/REPOSITORY-PROMOTION-READBACK-METHOD-v0.1.md","LEGACY","historical/reference evidence preserved under explicit Legacy boundary"
"methods/system-development/RUNTIME-COMPILATION-SEMANTIC-REGRESSION-METHOD-v0.1.md","LEGACY","historical/reference evidence preserved under explicit Legacy boundary"
"methods/system-development/SYSTEM-ARCHITECTURE-REQUIREMENTS-METHOD-v0.1.md","LEGACY","historical/reference evidence preserved under explicit Legacy boundary"
"realization/CHATGPT-NATIVE-OPERATIONALIZATION-MAP-v0.1.md","LEGACY","historical/reference evidence preserved under explicit Legacy boundary"
"realization/DEPLOYMENT-AND-SURFACE-REALIZATION-DESIGN-v0.1.md","LEGACY","historical/reference evidence preserved under explicit Legacy boundary"
"realization/E2E-CAPABILITY-METHOD-PROVIDER-MAP-v0.1.md","LEGACY","historical/reference evidence preserved under explicit Legacy boundary"
"realization/E2E-CHAT-WORK-SURFACE-ALLOCATION-v0.1.md","LEGACY","historical/reference evidence preserved under explicit Legacy boundary"
"realization/E2E-HANDOFF-COMMITMENT-PROMOTION-CONTRACT-v0.1.md","LEGACY","historical/reference evidence preserved under explicit Legacy boundary"
"realization/E2E-INSTALLATION-BUNDLE-v0.1.md","LEGACY","historical/reference evidence preserved under explicit Legacy boundary"
"realization/E2E-INSTALLATION-BUNDLE-v0.2.md","LEGACY","historical/reference evidence preserved under explicit Legacy boundary"
"realization/E2E-INSTALLATION-BUNDLE-v0.3.md","LEGACY","historical/reference evidence preserved under explicit Legacy boundary"
"realization/E2E-INSTALLATION-BUNDLE-v0.4.md","LEGACY","historical/reference evidence preserved under explicit Legacy boundary"
"realization/E2E-INTERACTION-FRONTIER-COMPILATION-CONTRACT-v0.1.md","LEGACY","historical/reference evidence preserved under explicit Legacy boundary"
"realization/E2E-OPERATING-RUNTIME-CONTRACT-CANDIDATE-v0.1.md","LEGACY","historical/reference evidence preserved under explicit Legacy boundary"
"realization/E2E-PROJECT-OPERATING-TEMPLATE-v0.1.md","LEGACY","historical/reference evidence preserved under explicit Legacy boundary"
"realization/E2E-RUNTIME-CANONICAL-COMPILATION-CONTRACT-v0.1.md","LEGACY","historical/reference evidence preserved under explicit Legacy boundary"
"realization/E2E-RUNTIME-CANONICAL-SEMANTIC-SOURCE-v0.1.md","LEGACY","historical/reference evidence preserved under explicit Legacy boundary"
"realization/E2E-RUNTIME-DEPLOYMENT-MODEL-CANDIDATE-v0.1.md","LEGACY","historical/reference evidence preserved under explicit Legacy boundary"
"realization/E2E-RUNTIME-MIGRATION-MANIFEST-v0.1.md","LEGACY","historical/reference evidence preserved under explicit Legacy boundary"
"realization/E2E-RUNTIME-MIGRATION-MANIFEST-v0.2.md","LEGACY","historical/reference evidence preserved under explicit Legacy boundary"
"realization/E2E-RUNTIME-MIGRATION-MANIFEST-v0.3.md","LEGACY","historical/reference evidence preserved under explicit Legacy boundary"
"realization/E2E-RUNTIME-MIGRATION-MANIFEST-v0.4.md","LEGACY","historical/reference evidence preserved under explicit Legacy boundary"
"realization/GLOBAL-CI-SOLUTION-FORMATION-CANDIDATE-v0.1.md","LEGACY","historical/reference evidence preserved under explicit Legacy boundary"
"realization/GLOBAL-CI-SOLUTION-FORMING-ACTIVATION-CANDIDATE-v0.2.md","LEGACY","historical/reference evidence preserved under explicit Legacy boundary"
"realization/GLOBAL-E2E-RUNTIME-KERNEL-CANDIDATE-v0.1.md","LEGACY","historical/reference evidence preserved under explicit Legacy boundary"
"realization/GLOBAL-E2E-RUNTIME-KERNEL-CANDIDATE-v0.2.md","LEGACY","historical/reference evidence preserved under explicit Legacy boundary"
"realization/GLOBAL-E2E-RUNTIME-KERNEL-CANDIDATE-v0.3.md","LEGACY","historical/reference evidence preserved under explicit Legacy boundary"
"realization/GLOBAL-E2E-RUNTIME-KERNEL-CANDIDATE-v0.4.md","LEGACY","historical/reference evidence preserved under explicit Legacy boundary"
"realization/GLOBAL-E2E-RUNTIME-KERNEL-CANDIDATE-v0.5.md","LEGACY","historical/reference evidence preserved under explicit Legacy boundary"
"realization/README.md","LEGACY","historical/reference evidence preserved under explicit Legacy boundary"
"realization/SYSTEM-WEITERENTWICKLUNG-PROJECT-INSTRUCTIONS-CANDIDATE-v0.1.md","LEGACY","historical/reference evidence preserved under explicit Legacy boundary"
"realization/SYSTEM-WEITERENTWICKLUNG-PROJECT-INSTRUCTIONS-CANDIDATE-v0.2.md","LEGACY","historical/reference evidence preserved under explicit Legacy boundary"
"realization/SYSTEM-WEITERENTWICKLUNG-PROJECT-INSTRUCTIONS-CANDIDATE-v0.3.md","LEGACY","historical/reference evidence preserved under explicit Legacy boundary"
"realization/SYSTEM-WEITERENTWICKLUNG-PROJECT-INSTRUCTIONS-CANDIDATE-v0.4.md","LEGACY","historical/reference evidence preserved under explicit Legacy boundary"
"realization/pilots/native-work-pilot-v0.1/NATIVE-WORK-PILOT-v0.1.md","LEGACY","historical/reference evidence preserved under explicit Legacy boundary"
"realization/pilots/native-work-pilot-v0.1/PROJECT-INSTRUCTIONS.md","LEGACY","historical/reference evidence preserved under explicit Legacy boundary"
"realization/rollback/GLOBAL-CI-PRE-E2E-LIVE-SNAPSHOT-METADATA.md","LEGACY","historical/reference evidence preserved under explicit Legacy boundary"
"realization/rollback/GLOBAL-CI-PRE-E2E-LIVE-SNAPSHOT.txt","LEGACY","historical/reference evidence preserved under explicit Legacy boundary"
"realization/rollback/SYSTEM-WEITERENTWICKLUNG-PROJECT-INSTRUCTIONS-PRE-E2E-METADATA.md","LEGACY","historical/reference evidence preserved under explicit Legacy boundary"
"realization/rollback/SYSTEM-WEITERENTWICKLUNG-PROJECT-INSTRUCTIONS-PRE-E2E.txt","LEGACY","historical/reference evidence preserved under explicit Legacy boundary"
"realization/runtime/route-b/RUNTIME-REALIZATION-REBASELINE-2026-08-25.md","LEGACY","historical/reference evidence preserved under explicit Legacy boundary"
"realization/runtime/route-b/v0.3-candidate/01-CANDIDATE-CONTRACT.md","LEGACY","historical/reference evidence preserved under explicit Legacy boundary"
"realization/runtime/route-b/v0.3-candidate/02-CANONICAL-KERNEL.md","LEGACY","historical/reference evidence preserved under explicit Legacy boundary"
"realization/runtime/route-b/v0.3-candidate/03-FORMATION-METHOD.md","LEGACY","historical/reference evidence preserved under explicit Legacy boundary"
"realization/runtime/route-b/v0.3-candidate/04-CHATGPT-ADAPTER-COMPILATION.md","LEGACY","historical/reference evidence preserved under explicit Legacy boundary"
"realization/runtime/route-b/v0.3-candidate/05-IDENTITY-COMPATIBILITY-MANIFEST.yaml","LEGACY","historical/reference evidence preserved under explicit Legacy boundary"
"realization/runtime/route-b/v0.3-candidate/06-CONDITIONAL-STATE-CARD-SCHEMA.yaml","LEGACY","historical/reference evidence preserved under explicit Legacy boundary"
"realization/runtime/route-b/v0.3-candidate/07-CORE-WORK-FUNCTIONS-AND-METHOD-CONTRACT.md","LEGACY","historical/reference evidence preserved under explicit Legacy boundary"
"realization/runtime/route-b/v0.4-candidate/01-CANDIDATE-CONTRACT.md","LEGACY","historical/reference evidence preserved under explicit Legacy boundary"
"realization/runtime/route-b/v0.4-candidate/02-CANONICAL-KERNEL.md","LEGACY","historical/reference evidence preserved under explicit Legacy boundary"
"realization/runtime/route-b/v0.4-candidate/03-FORMATION-METHOD.md","LEGACY","historical/reference evidence preserved under explicit Legacy boundary"
"realization/runtime/route-b/v0.4-candidate/04-CHATGPT-ADAPTER-COMPILATION.md","LEGACY","historical/reference evidence preserved under explicit Legacy boundary"
"realization/runtime/route-b/v0.4-candidate/05-IDENTITY-COMPATIBILITY-MANIFEST.yaml","LEGACY","historical/reference evidence preserved under explicit Legacy boundary"
"realization/runtime/route-b/v0.4-candidate/06-CONDITIONAL-STATE-CARD-SCHEMA.yaml","LEGACY","historical/reference evidence preserved under explicit Legacy boundary"
"realization/runtime/route-b/v0.4-candidate/07-CORE-WORK-FUNCTIONS-AND-METHOD-CONTRACT.md","LEGACY","historical/reference evidence preserved under explicit Legacy boundary"
"realization/runtime/route-b/v0.5-candidate/01-CANDIDATE-CONTRACT.md","LEGACY","historical/reference evidence preserved under explicit Legacy boundary"
"realization/runtime/route-b/v0.5-candidate/02-CANONICAL-KERNEL.md","LEGACY","historical/reference evidence preserved under explicit Legacy boundary"
"realization/runtime/route-b/v0.5-candidate/03-FORMATION-METHOD.md","LEGACY","historical/reference evidence preserved under explicit Legacy boundary"
"realization/runtime/route-b/v0.5-candidate/04-CHATGPT-ADAPTER-COMPILATION.md","LEGACY","historical/reference evidence preserved under explicit Legacy boundary"
"realization/runtime/route-b/v0.5-candidate/05-IDENTITY-COMPATIBILITY-MANIFEST.yaml","LEGACY","historical/reference evidence preserved under explicit Legacy boundary"
"realization/runtime/route-b/v0.5-candidate/06-CONDITIONAL-STATE-CARD-SCHEMA.yaml","LEGACY","historical/reference evidence preserved under explicit Legacy boundary"
"realization/runtime/route-b/v0.5-candidate/07-CORE-WORK-FUNCTIONS-AND-METHOD-CONTRACT.md","LEGACY","historical/reference evidence preserved under explicit Legacy boundary"
"realization/runtime/route-b/v0.5-chatgpt-runtime/GLOBAL-CUSTOM-INSTRUCTIONS-CANDIDATE.md","LEGACY","historical/reference evidence preserved under explicit Legacy boundary"
"realization/runtime/route-b/v0.5-chatgpt-runtime/RUNTIME-IMPLEMENTATION-MANIFEST.yaml","LEGACY","historical/reference evidence preserved under explicit Legacy boundary"
"realization/runtime/route-b/v0.5-chatgpt-runtime/RUNTIME-VALIDATION-MATRIX.md","LEGACY","historical/reference evidence preserved under explicit Legacy boundary"
"realization/runtime/route-b/v0.5-chatgpt-runtime/SYSTEM-DEVELOPMENT-PROJECT-INSTRUCTIONS-CANDIDATE.md","LEGACY","historical/reference evidence preserved under explicit Legacy boundary"
"realization/runtime/route-b/v0.5-chatgpt-runtime/work-formation/SKILL.md","LEGACY","historical/reference evidence preserved under explicit Legacy boundary"
"realization/runtime/route-b/v0.5-chatgpt-runtime/work-formation/references/ACTIVATION-BOUNDARY-EXAMPLES-v0.5.md","LEGACY","historical/reference evidence preserved under explicit Legacy boundary"
"realization/runtime/route-b/v0.5-chatgpt-runtime/work-formation/references/CORE-WORK-FUNCTIONS-AND-METHOD-CONTRACT-v0.5.md","LEGACY","historical/reference evidence preserved under explicit Legacy boundary"
"realization/runtime/route-b/v0.5-chatgpt-runtime/work-formation/references/FORMATION-METHOD-v0.5.md","LEGACY","historical/reference evidence preserved under explicit Legacy boundary"
"realization/runtime/route-b/v0.5-chatgpt-runtime/work-formation/references/SPARSE-WORK-BASIS-SCHEMA-v0.5.yaml","LEGACY","historical/reference evidence preserved under explicit Legacy boundary"
"realization/runtime/route-b/v0.6-chatgpt-runtime/GLOBAL-CUSTOM-INSTRUCTIONS.md","LEGACY","historical/reference evidence preserved under explicit Legacy boundary"
"realization/runtime/route-b/v0.6-chatgpt-runtime/PROFESSIONAL-WORK-BASELINE.md","EXTRACT","material semantics extracted into compact active baseline before archival"
"realization/runtime/route-b/v0.6-chatgpt-runtime/RUNTIME-TOPOLOGY.md","EXTRACT","material semantics extracted into compact active baseline before archival"
"realization/runtime/route-b/v0.6-chatgpt-runtime/SYSTEM-DEVELOPMENT-PROJECT-INSTRUCTIONS.md","LEGACY","historical/reference evidence preserved under explicit Legacy boundary"
"rebaseline/ACTIVATION-COVERAGE-CHECK-2026-09-02.md","EXTRACT","material semantics extracted into compact active baseline before archival"
"rebaseline/CHAT-WORK-COOPERATION-2026-09-02.md","EXTRACT","material semantics extracted into compact active baseline before archival"
"rebaseline/CURRENT-GLOBAL-CUSTOM-INSTRUCTIONS-2026-09-02.md","PROMOTE","active entrypoint, exact CI source, registry or discovery/packaging carrier"
"rebaseline/CURRENT-STATE-RECOVERY-2026-09-02.md","EXTRACT","material semantics extracted into compact active baseline before archival"
"rebaseline/DURABLE-LEARNINGS-SEPARATION-2026-09-02.md","EXTRACT","material semantics extracted into compact active baseline before archival"
"rebaseline/REBASELINE-ASSESSMENT-2026-09-02.md","EXTRACT","material semantics extracted into compact active baseline before archival"
"references/CROSS-REFERENCE-SYNTHESIS-DISCRIMINATION-v0.1.md","LEGACY","historical/reference evidence preserved under explicit Legacy boundary"
"references/FRONTIER-USER-CHALLENGE-v0.1.md","LEGACY","historical/reference evidence preserved under explicit Legacy boundary"
"references/REFERENCE-ANCHOR-CONFLICT-SWEEP-v0.1.md","LEGACY","historical/reference evidence preserved under explicit Legacy boundary"
"references/REFERENCE-ENVELOPE-DEPTH-CALIBRATION-v0.1.md","LEGACY","historical/reference evidence preserved under explicit Legacy boundary"
"references/REFERENCE-MAP-COVERAGE-AUDIT-v0.1.md","LEGACY","historical/reference evidence preserved under explicit Legacy boundary"
"references/REFERENCE-MAP-RED-TEAM-v0.1.md","LEGACY","historical/reference evidence preserved under explicit Legacy boundary"
"references/REFERENCE-MAP.md","LEGACY","historical/reference evidence preserved under explicit Legacy boundary"
"references/SEED-REFERENCE-REGISTER.md","LEGACY","historical/reference evidence preserved under explicit Legacy boundary"
"reviews/ADAPTIVE-EXPLORATION-v0.1-SOURCE-REVIEW.md","LEGACY","historical/reference evidence preserved under explicit Legacy boundary"
"reviews/BOOTSTRAP-CLOSURE-REVIEW-v0.1.md","LEGACY","historical/reference evidence preserved under explicit Legacy boundary"
"reviews/E2E-FIRST-PROJECT-INSTRUCTIONS-STATIC-REVIEW-v0.1.md","LEGACY","historical/reference evidence preserved under explicit Legacy boundary"
"reviews/E2E-GLOBAL-KERNEL-STATIC-REGRESSION-REVIEW-v0.1.md","LEGACY","historical/reference evidence preserved under explicit Legacy boundary"
"reviews/E2E-GLOBAL-KERNEL-STATIC-REGRESSION-REVIEW-v0.2.md","LEGACY","historical/reference evidence preserved under explicit Legacy boundary"
"reviews/E2E-KERNEL-LIVE-CONTROL-AND-SIX-PRIMITIVE-REVIEW-v0.1.md","LEGACY","historical/reference evidence preserved under explicit Legacy boundary"
"reviews/E2E-PROJECT-CARRIER-BOUNDARY-RECHECK-v0.1.md","LEGACY","historical/reference evidence preserved under explicit Legacy boundary"
"reviews/E2E-PROMOTION-CHECK-v0.1.md","LEGACY","historical/reference evidence preserved under explicit Legacy boundary"
"reviews/E2E-PROMOTION-STATE-HANDOFF-READBACK-v0.1.md","LEGACY","historical/reference evidence preserved under explicit Legacy boundary"
"reviews/E2E-RUNTIME-COMPILATION-FULL-STATIC-REGRESSION-v0.3.md","LEGACY","historical/reference evidence preserved under explicit Legacy boundary"
"reviews/E2E-RUNTIME-COMPILATION-READBACK-v0.3.md","LEGACY","historical/reference evidence preserved under explicit Legacy boundary"
"reviews/E2E-RUNTIME-COMPILED-SEMANTIC-TRACE-v0.1.md","LEGACY","historical/reference evidence preserved under explicit Legacy boundary"
"reviews/E2E-RUNTIME-COMPILED-SEMANTIC-TRACE-v0.2.md","LEGACY","historical/reference evidence preserved under explicit Legacy boundary"
"reviews/E2E-RUNTIME-MECHANISM-DEPLOYMENT-REGRESSION-v0.1.md","LEGACY","historical/reference evidence preserved under explicit Legacy boundary"
"reviews/E2E-RUNTIME-MECHANISM-DEPLOYMENT-REGRESSION-v0.2.md","LEGACY","historical/reference evidence preserved under explicit Legacy boundary"
"reviews/E2E-RUNTIME-REPAIR-PACKAGE-READBACK-v0.1.md","LEGACY","historical/reference evidence preserved under explicit Legacy boundary"
"reviews/E2E-RUNTIME-REPAIR-PACKAGE-READBACK-v0.2.md","LEGACY","historical/reference evidence preserved under explicit Legacy boundary"
"reviews/E2E-RUNTIME-REQUIREMENTS-AND-DEPLOYMENT-TIEOUT-v0.1.md","LEGACY","historical/reference evidence preserved under explicit Legacy boundary"
"reviews/E2E-STATIC-CLOSURE-REVIEW-v0.1.md","LEGACY","historical/reference evidence preserved under explicit Legacy boundary"
"reviews/GLOBAL-CI-SOLUTION-FORMATION-REGRESSION-REVIEW-v0.1.md","LEGACY","historical/reference evidence preserved under explicit Legacy boundary"
"reviews/GLOBAL-CI-SOLUTION-FORMING-OWNERSHIP-REGRESSION-REVIEW-v0.2.md","LEGACY","historical/reference evidence preserved under explicit Legacy boundary"
"reviews/PR-24-REQUIREMENTS-PROFESSIONAL-WORK-CONSISTENCY-REVIEW.md","EXTRACT","material semantics extracted into compact active baseline before archival"
"reviews/PROFESSIONAL-SUFFICIENCY-METHOD-ACTIVATION-LINEAGE-COMPILATION-v0.1.md","LEGACY","historical/reference evidence preserved under explicit Legacy boundary"
"reviews/QUALIFIED-ORCHESTRATION-v0.2-CARRIER-RECOMPILATION-SEMANTIC-REGRESSION-v0.1.md","LEGACY","historical/reference evidence preserved under explicit Legacy boundary"
"reviews/QUALIFIED-ORCHESTRATION-v0.2-RUNTIME-COMPILATION-SEMANTIC-REGRESSION-v0.1.md","LEGACY","historical/reference evidence preserved under explicit Legacy boundary"
"reviews/RCA-RUNTIME-DEPLOYMENT-MAPPING-FAILURE-v0.1.md","LEGACY","historical/reference evidence preserved under explicit Legacy boundary"
"reviews/REQUIREMENTS-v0.3-INTERACTION-REPAIR-TARGET-ARCHITECTURE-v0.2-ADDENDUM-v0.1.md","LEGACY","historical/reference evidence preserved under explicit Legacy boundary"
"reviews/REQUIREMENTS-v0.3-RUNTIME-v0.6-SEMANTIC-TRACE-AND-PROMOTION-READINESS-v0.1.md","LEGACY","historical/reference evidence preserved under explicit Legacy boundary"
